job title,gt,qa,percent change
HPE_SW_Engineer_Firmware,0.4285714286,0.4285714285714285,-6.6666783e-09
HPE_Quality_Engineer,0.4,0.4,0.0
HPE_Quality_Assurance_Engineer,0.4285714286,0.5714285714285714,33.33333332444443
HPE_Systems_Software_Engineer,0.4166666667,0.5833333333333334,39.9999999888
Sony_Blockchain_Developer,0.3488372093,0.4883720930232558,40.000000000933326
Adobe_Software_Engineering_Intern,0.3333333333,0.5238095238095238,57.142857158571445
HPE_Electrical_Hardware_Engineer,0.3,0.5,66.66666666666667
Sony_Software_Design_Engineer,0.375,0.625,66.66666666666667
HPE_Engineering_Program_Manager,0.3333333333,0.5833333333333334,75.00000001750003
Amazon_Graduate_Software_Engineer,0.3214285714,0.5714285714285714,77.77777779358026
Figma_Data_Scientist_Early_Career,0.25,0.45,80.0
Microsoft_Fullstack,0.2916666667,0.5416666666666666,85.7142856930612
Meta_Software_Engineer_Codesign,0.2962962963,0.5555555555555556,87.49999999765627
Comcast_Software_Engineer_Coop,0.25,0.46875,87.5
HPE_AI_ML_Engineer,0.2941176471,0.5882352941176471,99.999999972
Spotify_Junior_Backend_Engineer,0.2307692308,0.4615384615384615,99.99999997333336
HPE_Mechanical_Engineer,0.3,0.6,100.0
HPE_Product_Engineer,0.2857142857,0.5714285714285714,100.00000000999998
Paypal_Android_Engineer,0.2608695652,0.5217391304347826,100.00000001333332
HPE_Product_Manager,0.2222222222,0.4444444444444444,100.00000001999996
HPE_Engineer,0.3333333333,0.6666666666666666,100.00000002
Meta_Software_Engineer_Infrastructure,0.2580645161,0.5161290322580645,100.00000002250002
Google_Software_Engineer_Youtube_Design,0.25,0.525,110.0
Amazon_SDE_Embedded_Dev,0.275862069,0.5862068965517241,112.49999997343748
Amazon_SDE_I,0.2962962963,0.6296296296296297,112.49999999734376
Yahoo_Software_Dev_Engineer,0.1578947368,0.3421052631578947,116.66666672444448
HPE_Software_Designer,0.3125,0.6875,120.0
Meta_Software_Engineer,0.2631578947,0.5789473684210527,120.0000000308
Google_ML_Analyst,0.2258064516,0.5161290322580645,128.57142858448978
Tesla_Software_Compliance_Engineer,0.1842105263,0.4210526315789473,128.57142859102038
Amazon_SDE_AI_ML,0.2857142857,0.6785714285714286,137.500000011875
Google_ML_Engineer_Silicon,0.28,0.68,142.85714285714283
Amazon_SDE_Cloud,0.2692307692,0.6538461538461539,142.85714288489797
HPE_Experience_Design_Engineer,0.25,0.625,150.0
HPE_Test_Engineer,0.2857142857,0.7142857142857143,150.00000001249998
Netflix_Software_Engineer_Intern,0.1481481481,0.3703703703703703,150.00000008125002
Google_UX_Designer,0.2,0.55,175.0
Paypal_Fresh_Grad_SE,0.2,0.55,175.0
Amazon_SDE_Query_Optimization,0.2352941176,0.6470588235294118,175.00000005500004
Microsoft_Software_Engineering_Security,0.1956521739,0.5434782608695652,177.77777779629625
Adobe_AI_ML_Engineer,0.1935483871,0.5483870967741935,183.33333332861108
Tesla_Security_Engineer,0.1714285714,0.4857142857142857,183.33333338055556
Amex_Software_Engineer,0.1481481481,0.4259259259259259,187.50000009343756
Github_Software_Engineer_2,0.2083333333,0.6041666666666666,190.0000000464
Microsoft_Software_Engineer_AI_ML,0.1698113208,0.5094339622641509,199.99999992
Apple_SWE_Internal_Tools,0.1621621622,0.4864864864864865,199.99999993000003
HPE_Industrial_Engineer,0.25,0.75,200.0
HPE_Cloud_Developer,0.1818181818,0.5454545454545454,200.00000003
HPE_Research_Engineer,0.1818181818,0.5454545454545454,200.00000003
Amex_Backend_Engineer,0.1764705882,0.5294117647058824,200.00000006
Github_Software_Engineer,0.1914893617,0.5957446808510638,211.1111111145679
Figma_Web_Developer,0.1282051282,0.4102564102564102,220.00000001280003
HP_Associate_Software_Developer,0.2083333333,0.6666666666666666,220.0000000512
HP_Software_Quality_Engineer,0.1764705882,0.5882352941176471,233.3333334
Tesla_Software_Engineer_Firmware,0.1515151515,0.5151515151515151,240.000000034
OpenAI_Software_Engineer_Real_Time,0.1707317073,0.6097560975609756,257.14285717857143
Microsoft_Applied_Scientist,0.1470588235,0.5294117647058824,260.00000007200003
Amex_Engineer_Java,0.1632653061,0.5918367346938775,262.5000000498437
Microsoft_Security_Researcher,0.1730769231,0.6346153846153846,266.66666661777776
Adobe_Software_Quality_Engineer,0.15,0.55,266.6666666666667
Paypal_Software_Engineer,0.1666666667,0.6333333333333333,279.999999924
Amazon_Cloud_Support_Engineer_ETL,0.1315789474,0.5263157894736842,299.999999904
HPE_VLSI_Engineer,0.1666666667,0.6666666666666666,299.99999992
Tesla_Software_Engineer_Recruiting,0.1578947368,0.631578947368421,300.0000001066667
Spotify_Backend_Engineer_Audiobooks,0.1162790698,0.5116279069767442,339.9999998768
Yahoo_Frontend_Software_Dev_Engineer,0.1315789474,0.6052631578947368,359.9999998896
Apple_Webkit_Engineer,0.125,0.5833333333333334,366.6666666666667
Paypal_SE_Growths_Market,0.1153846154,0.5769230769230769,399.9999999333333
OpenAI_Software_Engineering_Applied_Engineering,0.125,0.6666666666666666,433.3333333333333
Meta_Software_Engineer_Frontend,0.1304347826,0.6956521739130435,433.3333333688889
Adobe_Software_Solutions_Architect,0.0943396226,0.5094339622641509,440.0000002376
Meta_Software_Engineer_Android,0.1052631579,0.5789473684210527,449.9999999725
Meta_Software_Engineer_Computer_Vision,0.1363636364,0.7727272727272727,466.6666665155556
HPE_Data_Scientist,0.0740740741,0.4444444444444444,499.99999979
Spotify_Backend_Engineer_Data_Platform,0.125,0.7916666666666666,533.3333333333333
